X,Y,gid,Name,description,altitudeMode,Nghd_Name,Suburban_Area,NGHD_ID,Field_1
-106.589855958046,52.1074882795747,16,Wildwood,,clampToGround,Wildwood,Lakewood,045,Wildwood
-106.591500153496,52.1344504865337,18,Sutherland Industrial,,clampToGround,Sutherland Industrial,University Heights,109,Sutherland Industrial
-106.657895520611,52.164183772633,21,North Industrial,,clampToGround,North Industrial,Riel Industrial,106,North Industrial
-106.660204009481,52.1508458121689,24,Kelsey - Woodlawn,,clampToGround,Kelsey - Woodlawn,Lawson,105,Kelsey - Woodlawn
-106.644745296629,52.1984616339962,26,Marquis Industrial,,clampToGround,Marquis Industrial,Riel Industrial,113,Marquis Industrial
-106.696235402244,52.105691878575,27,Gordie Howe Management Area,,clampToGround,Gordie Howe Management Area,Confederation,713,Gordie Howe Management Area
-106.605391687015,52.1393312167542,34,Sutherland,,clampToGround,Sutherland,University Heights,048,Sutherland
-106.720942256539,52.0956785181837,28,SaskPower Management Area,,clampToGround,SaskPower Management Area,Confederation,712,SaskPower Management Area
-106.710763259503,52.1096654969516,30,South West Industrial,,clampToGround,South West Industrial,Confederation,108,South West Industrial
-106.676131728143,52.1492317628488,32,Mayfair,,clampToGround,Mayfair,Lawson,019,Mayfair
-106.604689894922,52.1613166434114,36,U of S Lands North Management Area,,clampToGround,U of S Lands North Management Area,University Heights,714,U of S Lands North Management Area
-106.625821960753,52.1409020075829,37,U of S Lands Management Area,,clampToGround,U of S Lands Management Area,University Heights,715,U of S Lands Management Area
-106.651994003233,52.1220785779715,40,Nutana,,clampToGround,Nutana,Core Neighbourhood Area,026,Nutana
-106.604216784246,52.0807968157749,45,South East Development Area,,clampToGround,South East Development Area,Lakewood,901,South East Development Area
-106.66818111232,52.1111036965768,50,Buena Vista,,clampToGround,Buena Vista,Nutana,027,Buena Vista
-106.576099153528,52.147536715177,54,University Heights Suburban Centre,,clampToGround,University Heights Suburban Centre,University Heights,067,University Heights Suburban Centre
-106.628670518324,52.1183260774778,58,Grosvenor Park,,clampToGround,Grosvenor Park,Nutana,035,Grosvenor Park
-106.656182695745,52.0951212786242,62,Avalon,,clampToGround,Avalon,Nutana,029,Avalon
-106.686790575494,52.0979740751132,63,Diefenbaker Management Area,,clampToGround,Diefenbaker Management Area,Nutana,710,Diefenbaker Management Area
-106.675174422914,52.0903642947971,65,South Development Area,,clampToGround,South Development Area,Nutana,908,South Development Area
-106.630793520411,52.1609629862032,68,River Heights,,clampToGround,River Heights,Lawson,053,River Heights
-106.705557048873,52.1476011598793,72,Westview,,clampToGround,Westview,Confederation,008,Westview
